timestamp,ticker,yahoo_symbol,price,currency,market_time
2026-05-19T08:52:12.090Z,AAPL,AAPL,297.84,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:12.090Z,MSFT,MSFT,423.54,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:12.090Z,NVDA,NVDA,222.32,USD,2026-05-18T20:00:00.000Z
2026-05-19T08:52:12.090Z,AMZN,AMZN,264.86,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:12.090Z,META,META,611.21,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:12.090Z,GOOGL,GOOGL,396.94,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:12.090Z,GOOG,GOOG,393.11,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:12.090Z,BRK.B,BRK-B,488.38,USD,2026-05-18T20:02:48.000Z
2026-05-19T08:52:12.090Z,LLY,LLY,988.09,USD,2026-05-18T20:01:21.000Z
2026-05-19T08:52:12.090Z,AVGO,AVGO,420.71,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:12.090Z,TSLA,TSLA,409.99,USD,2026-05-18T20:00:00.000Z
2026-05-19T08:52:12.090Z,JPM,JPM,300.73,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:12.090Z,UNH,UNH,391.13,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:12.090Z,V,V,332.64,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:12.090Z,XOM,XOM,160.49,USD,2026-05-18T20:00:24.000Z
2026-05-19T08:52:12.090Z,MA,MA,505.79,USD,2026-05-18T20:00:03.000Z
2026-05-19T08:52:12.090Z,JNJ,JNJ,228.92,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:12.090Z,PG,PG,142.39,USD,2026-05-18T20:00:47.000Z
2026-05-19T08:52:12.090Z,HD,HD,299.81,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:12.090Z,COST,COST,1076.47,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:12.090Z,ABBV,ABBV,209.41,USD,2026-05-18T20:00:03.000Z
2026-05-19T08:52:12.090Z,AMD,AMD,420.99,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:12.090Z,MRK,MRK,112.56,USD,2026-05-18T20:00:50.000Z
2026-05-19T08:52:12.090Z,NFLX,NFLX,89.65,USD,2026-05-18T20:00:00.000Z
2026-05-19T08:52:12.090Z,PEP,PEP,149.06,USD,2026-05-18T20:00:00.000Z
2026-05-19T08:52:12.090Z,CVX,CVX,196.12,USD,2026-05-18T20:00:35.000Z
2026-05-19T08:52:12.090Z,TMO,TMO,442,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:12.090Z,WMT,WMT,133.34,USD,2026-05-18T20:00:00.000Z
2026-05-19T08:52:12.090Z,KO,KO,81.2,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:12.090Z,BAC,BAC,50.69,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:12.090Z,ADBE,ADBE,255.64,USD,2026-05-18T20:00:00.000Z
2026-05-19T08:52:12.090Z,QCOM,QCOM,203.64,USD,2026-05-18T20:00:00.000Z
2026-05-19T08:52:12.090Z,CRM,CRM,179.48,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:12.090Z,ACN,ACN,177.55,USD,2026-05-18T20:00:03.000Z
2026-05-19T08:52:12.090Z,LIN,LIN,510.86,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:12.090Z,ORCL,ORCL,186.61,USD,2026-05-18T20:02:57.000Z
2026-05-19T08:52:12.090Z,MCD,MCD,282.47,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:12.090Z,INTU,INTU,403.16,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:12.090Z,CSCO,CSCO,118.88,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:12.090Z,WFC,WFC,74.37,USD,2026-05-18T20:00:54.000Z
2026-05-19T08:52:12.090Z,DIS,DIS,103.91,USD,2026-05-18T20:00:32.000Z
2026-05-19T08:52:12.090Z,ABT,ABT,87.91,USD,2026-05-18T20:00:58.000Z
2026-05-19T08:52:12.090Z,GE,GE,285.99,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:12.090Z,CAT,CAT,863.95,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:12.090Z,VZ,VZ,46.76,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:12.090Z,TXN,TXN,300.6,USD,2026-05-18T20:00:00.000Z
2026-05-19T08:52:12.091Z,AMAT,AMAT,413.57,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:12.091Z,AMGN,AMGN,324.39,USD,2026-05-18T20:00:00.000Z
2026-05-19T08:52:12.091Z,CMG,CMG,33.75,USD,2026-05-18T20:01:06.000Z
2026-05-19T08:52:12.091Z,IBM,IBM,222.75,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.726Z,BKNG,BKNG,155.07,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:14.726Z,UNP,UNP,275.13,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.726Z,COP,COP,124.54,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.726Z,GS,GS,946.36,USD,2026-05-18T20:00:03.000Z
2026-05-19T08:52:14.726Z,LOW,LOW,218.02,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.726Z,PM,PM,191.5,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.726Z,TJX,TJX,150.25,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.726Z,SPGI,SPGI,417.41,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.726Z,HON,HON,217.23,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:14.726Z,REGN,REGN,629.68,USD,2026-05-18T20:00:00.000Z
2026-05-19T08:52:14.726Z,ISRG,ISRG,439.92,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:14.726Z,ETN,ETN,381.87,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.726Z,NOW,NOW,103.42,USD,2026-05-18T20:00:03.000Z
2026-05-19T08:52:14.726Z,GEV,GEV,1012.25,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.726Z,RTX,RTX,175.95,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.726Z,ELV,ELV,394.07,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.726Z,MDT,MDT,77.32,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.726Z,PANW,PANW,247.55,USD,2026-05-18T20:00:00.000Z
2026-05-19T08:52:14.726Z,BLK,BLK,1085.88,USD,2026-05-18T20:00:03.000Z
2026-05-19T08:52:14.726Z,PFE,PFE,25.33,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.726Z,LRCX,LRCX,277.96,USD,2026-05-18T20:00:00.000Z
2026-05-19T08:52:14.726Z,PLTR,PLTR,135.14,USD,2026-05-18T20:00:00.000Z
2026-05-19T08:52:14.726Z,SYK,SYK,313.22,USD,2026-05-18T20:00:03.000Z
2026-05-19T08:52:14.726Z,C,C,122.41,USD,2026-05-18T20:02:42.000Z
2026-05-19T08:52:14.726Z,MS,MS,192.69,USD,2026-05-18T20:00:55.000Z
2026-05-19T08:52:14.727Z,DE,DE,564.49,USD,2026-05-18T20:00:03.000Z
2026-05-19T08:52:14.727Z,MU,MU,681.54,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:14.727Z,BSX,BSX,55.92,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.727Z,LMT,LMT,528.31,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.727Z,ADP,ADP,222.94,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:14.727Z,ADI,ADI,418.58,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:14.727Z,SBUX,SBUX,106.6,USD,2026-05-18T20:00:00.000Z
2026-05-19T08:52:14.727Z,MDLZ,MDLZ,61.64,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:14.727Z,MO,MO,73.72,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.727Z,GILD,GILD,129.67,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:14.727Z,CB,CB,330.33,USD,2026-05-18T20:00:03.000Z
2026-05-19T08:52:14.727Z,SHW,SHW,302.78,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.727Z,PGR,PGR,204,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.727Z,CI,CI,286.69,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.727Z,AMT,AMT,177.28,USD,2026-05-18T20:00:03.000Z
2026-05-19T08:52:14.727Z,SCHW,SCHW,92.39,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:14.727Z,CVS,CVS,95.99,USD,2026-05-18T20:00:03.000Z
2026-05-19T08:52:14.727Z,CME,CME,305.12,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:14.727Z,BX,BX,117.04,USD,2026-05-18T20:01:48.000Z
2026-05-19T08:52:14.727Z,CDNS,CDNS,345.99,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:14.727Z,T,T,24.43,USD,2026-05-18T20:00:29.000Z
2026-05-19T08:52:14.727Z,CRWD,CRWD,618.83,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:14.727Z,NOC,NOC,550,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:17.355Z,ZTS,ZTS,77.72,USD,2026-05-18T20:00:03.000Z
2026-05-19T08:52:17.355Z,MCK,MCK,775.97,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:17.355Z,KLAC,KLAC,1756.45,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:17.355Z,EQIX,EQIX,1062.62,USD,2026-05-18T20:00:01.000Z
2026-05-19T08:52:17.355Z,COF,COF,187.17,USD,2026-05-18T20:00:02.000Z
2026-05-19T08:52:17.355Z,DHR,DHR,163.86,USD,2026-05-18T20:00:03.000Z
2026-05-19T08:52:17.355Z,ICE,ICE,155.99,USD,2026-05-18T20:00:03.000Z
2026-05-19T08:52:17.355Z,BMY,BMY,57.31,USD,2026-05-18T20:00:02.000Z
